Sub-Channel,Inlet Mass Flow Rate [F0],Inlet Enthalpy [H0],Outlet Mass Flow Rate [F1 at last Node],Outlet Enthalpy [H1 at last Node],Heat Generated [C1 at last Node],H0 + C1
38,0.051515152,969,0.05152914524313285,971.5124811469063,0.12560776356420733,969.1256077635642
39,0.051515152,969,0.051501056615244824,971.5131959848757,0.12567626992043532,969.1256762699204
40,0.051515152,969,0.05151524868959996,971.5128360414748,0.12564164702696676,969.125641647027
41,0.051515152,969,0.05151515058345262,971.5128376745743,0.12564188630061335,969.1256418863006
42,0.051515152,969,0.051514932517055294,971.5128412665317,0.12564241815171284,969.1256424181518
43,0.051515152,969,0.05154768501877864,971.5124717739287,0.12556258714639146,969.1255625871464
44,0.025757576,969,0.025725252180705895,973.007070159711,0.20052188103721874,969.2005218810373
45,0.051515152,969,0.05152914734453549,971.5124811181358,0.12560775844181546,969.1256077584418
46,0.051515152,969,0.051501058545485146,971.5131959609587,0.12567626521013595,969.1256762652101
47,0.051515152,969,0.05151525159766236,971.5128360051109,0.12564163993443128,969.1256416399344
48,0.051515152,969,0.05151493419605876,971.5128412445589,0.12564241405670507,969.1256424140568
49,0.051515152,969,0.051547717215877385,971.5124715488507,0.1255625087190384,969.125562508719
50,0.025757576,969,0.025725257962750613,973.007070162957,0.20052183596764217,969.2005218359676
51,0.051515152,969,0.05152914728449371,971.5124811194422,0.12560775858817366,969.1256077585882
52,0.051515152,969,0.05150105948713209,971.5131959493272,0.12567626291226727,969.1256762629123
53,0.051515152,969,0.05151503305863215,971.5128396049213,0.1256421729361691,969.1256421729362
54,0.051515152,969,0.05154771618390421,971.5124715665764,0.12556251123277035,969.1255625112327
55,0.025757576,969,0.025725227518073154,973.007071161943,0.20052207327643237,969.2005220732765
56,0.051515152,969,0.05152914777927259,971.5124811133915,0.1256077573820977,969.1256077573821
57,0.051515152,969,0.051500842555135554,971.513199509469,0.12567679228618192,969.1256767922862
58,0.051515152,969,0.05154781039909921,971.5124699437943,0.12556228173909467,969.1255622817391
59,0.025757576,969,0.025725224155931783,973.0070711343252,0.20052209948353378,969.2005220994836
60,0.051515152,969,0.05152902727426827,971.5124830866686,0.12560805112650053,969.1256080511265
61,0.051515152,969,0.05153405604822835,971.5128257043921,0.1255957940960023,969.1255957940961
62,0.025757576,969,0.025725636787880757,973.0070647587879,0.20051888316568695,969.2005188831657
63,0.051515152,969,0.051547088680097365,971.5123811050036,0.12556403975660774,969.1255640397566
64,0.025757576,969,0.025695887284765566,973.0086010477531,0.200751034601957,969.2007510346019
65,0.025757576,969,0.02576825995594311,973.0046032220466,0.20018720574270768,969.2001872057427
,2.833333359999998,,2.8333333600000006,63167.19919260664,9.111428279903524,62994.1114282799
